method,S_M_5,E_2,E_5,S_M_2,N_4,E_1,S_E_1,S_E_5,N_3,S_E_2,S_M_1,N_4m,E_4,S_4,S_2,E_3,S_M_4,S_5,S_3,S_M_3,E_4m,S_E_4,S_E_0,S_M_4m,S_E_3,S_4m,N_2,S_E_4m,N_5,S_1,N_1,E_0,S_M_0,S_0,N_0,
S_M_4m, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , -   , 53.81 , -   , -   , 57.14 , -   , -   , -   , 30.48 , 75.24 , -   , 65.24 , 77.62 , 83.81 , 99.52 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 38.76 
S_E_3, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , 9.52 , 53.81 , -   , 9.05 , 57.14 , 10.95 , 0.48 , -   , 30.00 , 75.24 , 32.38 , -   , 54.29 , 83.81 , 100.00 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 38.01 
S_4m, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , -   , 53.81 , -   , -   , 57.14 , -   , -   , -   , 8.10 , 75.24 , 21.43 , 44.76 , -   , 83.81 , 80.95 , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 35.40 
N_2, 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 16.19 , 19.05 , 16.19 , 16.19 , 16.19 , 13.81 , 16.19 , 16.19 , 27.14 , 16.19 , 16.19 , 16.19 , 16.19 , 39.05 , 16.19 , 16.19 , 16.19 , -   , 16.19 , 74.76 , 95.24 , 96.19 , 100.00 , 100.00 , 100.00 , 100.00 , 32.50 
S_E_4m, 5.71 , 9.52 , 18.10 , 9.52 , 2.38 , 28.10 , 11.43 , -   , 3.81 , 2.86 , 40.95 , -   , -   , -   , 53.81 , -   , -   , 57.14 , -   , -   , -   , -   , 75.24 , 0.48 , -   , 18.57 , 83.81 , -   , 91.90 , 93.81 , 95.71 , 100.00 , 100.00 , 100.00 , 100.00 , 31.51 
N_5, 8.10 , 8.10 , 8.10 , 8.10 , 8.10 , 10.48 , 8.10 , 8.10 , 8.10 , 8.10 , 16.19 , 8.10 , 8.10 , 8.10 , 8.10 , 8.10 , 8.10 , 7.14 , 8.10 , 8.10 , 8.10 , 8.10 , 26.19 , 8.10 , 8.10 , 8.10 , 25.24 , 8.10 , -   , 60.95 , 70.48 , 98.57 , 100.00 , 100.00 , 100.00 , 22.90 
S_1, 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 4.76 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 6.19 , 4.76 , 6.19 , 38.10 , -   , 88.10 , 80.00 , 100.00 , 100.00 , 100.00 , 19.33 
N_1, 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.76 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 4.29 , 3.81 , 4.29 , 29.52 , 10.48 , -   , 80.00 , 98.57 , 100.00 , 100.00 , 15.39 
E_0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.95 , -   , -   , -   , -   , -   , 1.43 , 20.00 , 20.00 , -   , 100.00 , 100.00 , 100.00 , 9.78 
S_M_0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.43 , -   , -   , 100.00 , 100.00 , 5.76 
S_0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 97.62 , 2.79 
N_0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.43 , -   , 0.04 
, 14.90 , 17.22 , 17.99 , 19.59 , 19.89 , 24.04 , 24.95 , 25.28 , 27.10 , 28.52 , 32.69 , 33.43 , 33.70 , 39.96 , 40.06 , 41.63 , 42.94 , 44.01 , 45.92 , 47.47 , 49.66 , 56.59 , 57.96 , 58.22 , 58.93 , 61.57 , 64.63 , 65.62 , 74.21 , 77.74 , 81.71 , 87.36 , 91.39 , 94.33 , 97.07 ,
