"","HC","coef","criterion","test","value"
"190","HC0","x4","power","saddle_V1",0.14817786937981
"191","HC0","x0","size","saddle_V1",0.755538674293772
"192","HC0","x1","size","saddle_V1",0.147034037767305
"193","HC0","x2","size","saddle_V1",0.303110940762074
"194","HC0","x3","size","saddle_V1",0.157655390617266
"195","HC0","x4","size","saddle_V1",0.326194535832274
"196","HC0","x0","power","saddle_V1",0.404988843607336
"197","HC0","x1","power","saddle_V1",0.381224941464814
"198","HC0","x2","power","saddle_V1",0.010978743285144
"199","HC0","x3","power","saddle_V1",0.00261200176961049
"200","HC0","x4","power","saddle_V1",0.326194535832274
"201","HC0","x0","size","saddle_V1",0.360212851634271
"202","HC0","x1","size","saddle_V1",0.41720192988297
"203","HC0","x2","size","saddle_V1",0.187722328126793
"204","HC0","x3","size","saddle_V1",0.641446334325656
"205","HC0","x4","size","saddle_V1",0.548596266824495
"206","HC0","x0","power","saddle_V1",0.236904284396252
"207","HC0","x1","power","saddle_V1",0.609907855232419
"208","HC0","x2","power","saddle_V1",0.00256163503108017
"209","HC0","x3","power","saddle_V1",0.16807814529781
"210","HC0","x4","power","saddle_V1",0.548596266824495
"211","HC0","x0","size","saddle_V1",0.585661797765006
"212","HC0","x1","size","saddle_V1",0.90754156933006
"213","HC0","x2","size","saddle_V1",0.672752860925235
"214","HC0","x3","size","saddle_V1",0.320133672473023
"215","HC0","x4","size","saddle_V1",0.28918945196231
"216","HC0","x0","power","saddle_V1",0.760443534077675
"217","HC0","x1","power","saddle_V1",0.666135297289031
"218","HC0","x2","power","saddle_V1",0.400061756274195
"219","HC0","x3","power","saddle_V1",0.0541340334242528
"220","HC0","x4","power","saddle_V1",0.28918945196231
"221","HC0","x0","size","saddle_V1",0.0881010261458325
"222","HC0","x1","size","saddle_V1",0.135582966610016
"223","HC0","x2","size","saddle_V1",0.105994530835503
"224","HC0","x3","size","saddle_V1",0.939814339440874
"225","HC0","x4","size","saddle_V1",0.682957698459772
"226","HC0","x0","power","saddle_V1",0.045332086559634
"227","HC0","x1","power","saddle_V1",0.253182689852954
"228","HC0","x2","power","saddle_V1",0.00141789416552883
"229","HC0","x3","power","saddle_V1",0.090844578485768
"230","HC0","x4","power","saddle_V1",0.682957698459772
"231","HC0","x0","size","saddle_V1",0.699267397040987
"232","HC0","x1","size","saddle_V1",0.869955866485447
"233","HC0","x2","size","saddle_V1",0.557325276137516
"234","HC0","x3","size","saddle_V1",0.533022606305834
"235","HC0","x4","size","saddle_V1",0.393617111544873
"236","HC0","x0","power","saddle_V1",0.935916184916904
"237","HC0","x1","power","saddle_V1",0.756456468528385
"238","HC0","x2","power","saddle_V1",0.284219542888795
"239","HC0","x3","power","saddle_V1",0.0752782416262353
"240","HC0","x4","power","saddle_V1",0.393617111544873
"241","HC0","x0","size","saddle_V1",0.758414979173939
"242","HC0","x1","size","saddle_V1",0.897146515822961
"243","HC0","x2","size","saddle_V1",0.383058069831204
"244","HC0","x3","size","saddle_V1",0.311627613373031
"245","HC0","x4","size","saddle_V1",0.0424728067385946
"246","HC0","x0","power","saddle_V1",0.513843831999951
"247","HC0","x1","power","saddle_V1",0.605918886651763
"248","HC0","x2","power","saddle_V1",0.375834639122205
"249","HC0","x3","power","saddle_V1",0.0174504987550427
"250","HC0","x4","power","saddle_V1",0.0424728067385946
"251","HC0","x0","size","saddle_V1",0.738056364425706
"252","HC0","x1","size","saddle_V1",0.661509837938565
"253","HC0","x2","size","saddle_V1",0.848763699537911
"254","HC0","x3","size","saddle_V1",0.445702561262174
"255","HC0","x4","size","saddle_V1",0.541101061514531
"256","HC0","x0","power","saddle_V1",0.991580466315485
"257","HC0","x1","power","saddle_V1",0.432468124073766
"258","HC0","x2","power","saddle_V1",0.0552195055392035
"259","HC0","x3","power","saddle_V1",0.937386877605765
"260","HC0","x4","power","saddle_V1",0.541101061514531
"261","HC0","x0","size","saddle_V1",0.883534526484221
"262","HC0","x1","size","saddle_V1",0.816466362237691
"263","HC0","x2","size","saddle_V1",0.586724971602458
"264","HC0","x3","size","saddle_V1",0.317032657504346
"265","HC0","x4","size","saddle_V1",0.184351620442065
"266","HC0","x0","power","saddle_V1",0.813676407246361
"267","HC0","x1","power","saddle_V1",0.511635655797452
"268","HC0","x2","power","saddle_V1",0.241216968910553
"269","HC0","x3","power","saddle_V1",0.000904993675388773
"270","HC0","x4","power","saddle_V1",0.184351620442065
"271","HC0","x0","size","saddle_V1",0.685013904798859
"272","HC0","x1","size","saddle_V1",0.745011544579517
"273","HC0","x2","size","saddle_V1",0.793889915142112
"274","HC0","x3","size","saddle_V1",0.914554310784449
"275","HC0","x4","size","saddle_V1",0.773858035516323
"276","HC0","x0","power","saddle_V1",0.518683145223913
