"",".n","HC","coef","criterion","saddle_V1","saddle_V2"
"230",23,"HC0","x4","power",0.682957698459772,0.685940404252556
"231",24,"HC0","x0","size",0.699267397040987,0.710792680729734
"232",24,"HC0","x1","size",0.869955866485447,0.876360489463481
"233",24,"HC0","x2","size",0.557325276137516,0.566460735088946
"234",24,"HC0","x3","size",0.533022606305834,0.535130905790467
"235",24,"HC0","x4","size",0.393617111544873,0.407356709858165
"236",24,"HC0","x0","power",0.935916184916904,0.938170880357591
"237",24,"HC0","x1","power",0.756456468528385,0.768922509893914
"238",24,"HC0","x2","power",0.284219542888795,0.29716609245245
"239",24,"HC0","x3","power",0.0752782416262353,0.0805770099412777
"240",24,"HC0","x4","power",0.393617111544873,0.407356709858165
"241",25,"HC0","x0","size",0.758414979173939,0.759083951148511
"242",25,"HC0","x1","size",0.897146515822961,0.897771697598628
"243",25,"HC0","x2","size",0.383058069831204,0.402248410417327
"244",25,"HC0","x3","size",0.311627613373031,0.298936963413175
"245",25,"HC0","x4","size",0.0424728067385946,0.0577593145522755
"246",25,"HC0","x0","power",0.513843831999951,0.515437573082046
"247",25,"HC0","x1","power",0.605918886651763,0.608697118686657
"248",25,"HC0","x2","power",0.375834639122205,0.392976665761481
"249",25,"HC0","x3","power",0.0174504987550427,0.0158561217917456
"250",25,"HC0","x4","power",0.0424728067385946,0.0577593145522755
"251",26,"HC0","x0","size",0.738056364425706,0.742004084465241
"252",26,"HC0","x1","size",0.661509837938565,0.664394008000809
"253",26,"HC0","x2","size",0.848763699537911,0.849898506393144
"254",26,"HC0","x3","size",0.445702561262174,0.46584299286053
"255",26,"HC0","x4","size",0.541101061514531,0.557993348490197
"256",26,"HC0","x0","power",0.991580466315485,0.991681256939028
"257",26,"HC0","x1","power",0.432468124073766,0.438157714647886
"258",26,"HC0","x2","power",0.0552195055392035,0.0581881178520489
"259",26,"HC0","x3","power",0.937386877605765,0.939391311881941
"260",26,"HC0","x4","power",0.541101061514531,0.557993348490197
"261",27,"HC0","x0","size",0.883534526484221,0.888119608767148
"262",27,"HC0","x1","size",0.816466362237691,0.822582113599574
"263",27,"HC0","x2","size",0.586724971602458,0.602736210910986
"264",27,"HC0","x3","size",0.317032657504346,0.331021256261059
"265",27,"HC0","x4","size",0.184351620442065,0.18201800369897
"266",27,"HC0","x0","power",0.813676407246361,0.821273909302156
"267",27,"HC0","x1","power",0.511635655797452,0.529112461159239
"268",27,"HC0","x2","power",0.241216968910553,0.265554890669607
"269",27,"HC0","x3","power",0.000904993675388773,0.00193601069744408
"270",27,"HC0","x4","power",0.184351620442065,0.18201800369897
"271",28,"HC0","x0","size",0.685013904798859,0.696898818879661
"272",28,"HC0","x1","size",0.745011544579517,0.753564375789532
"273",28,"HC0","x2","size",0.793889915142112,0.801679048590609
"274",28,"HC0","x3","size",0.914554310784449,0.915286790045536
"275",28,"HC0","x4","size",0.773858035516323,0.777415770105899
"276",28,"HC0","x0","power",0.518683145223913,0.53813534369739
"277",28,"HC0","x1","power",0.997472140700916,0.997539793922787
"278",28,"HC0","x2","power",0.202073618474478,0.226480798971568
"279",28,"HC0","x3","power",0.0733839617943805,0.0817797242684644
"280",28,"HC0","x4","power",0.773858035516323,0.777415770105899
"281",29,"HC0","x0","size",0.419787415576313,0.427517256125135
"282",29,"HC0","x1","size",0.36833489077259,0.37683335149522
"283",29,"HC0","x2","size",0.563344900531275,0.562920019220877
"284",29,"HC0","x3","size",0.209887557804717,0.209532180145533
"285",29,"HC0","x4","size",0.386401728800085,0.400482611350019
"286",29,"HC0","x0","power",0.656129016015454,0.660576527591641
"287",29,"HC0","x1","power",0.18748744229028,0.194716498602157
"288",29,"HC0","x2","power",0.210609340411903,0.210384237863777
"289",29,"HC0","x3","power",0.150488207960528,0.151152350421772
"290",29,"HC0","x4","power",0.386401728800085,0.400482611350019
"291",30,"HC0","x0","size",0.0914961764472815,0.0903535707981935
"292",30,"HC0","x1","size",0.171573380244144,0.181433158334155
"293",30,"HC0","x2","size",0.415384629147428,0.446298241756782
"294",30,"HC0","x3","size",0.516128838350124,0.545851856421858
"295",30,"HC0","x4","size",0.847478717415204,0.848448216984062
"296",30,"HC0","x0","power",0.227760229674956,0.226544109376309
"297",30,"HC0","x1","power",0.0646124109534,0.072438241090143
"298",30,"HC0","x2","power",0.445621953186589,0.475393475315684
"299",30,"HC0","x3","power",0.0322300149296173,0.0533143637864372
"300",30,"HC0","x4","power",0.847478717415204,0.848448216984062
"301",31,"HC0","x0","size",0.964504691341068,0.964643991963852
"302",31,"HC0","x1","size",0.875700436011418,0.875130679983459
"303",31,"HC0","x2","size",0.361964689193602,0.3926162312273
"304",31,"HC0","x3","size",0.46557975800493,0.488520834023838
"305",31,"HC0","x4","size",0.947036549439319,0.950022653700337
"306",31,"HC0","x0","power",0.548257184518507,0.550626847586475
"307",31,"HC0","x1","power",0.569703702263604,0.568191663611256
"308",31,"HC0","x2","power",0.188297705160924,0.221625322559811
"309",31,"HC0","x3","power",0.0166938857692099,0.0294311870704543
"310",31,"HC0","x4","power",0.947036549439319,0.950022653700337
"311",32,"HC0","x0","size",0.417585196744079,0.427394352250014
"312",32,"HC0","x1","size",0.315269812495945,0.335757044027419
"313",32,"HC0","x2","size",0.173586879780381,0.189973199570446
"314",32,"HC0","x3","size",0.835832171835791,0.843671112153641
"315",32,"HC0","x4","size",0.22038256772949,0.240951116625586
"316",32,"HC0","x0","power",0.614550819100892,0.620884751403866
"317",32,"HC0","x1","power",0.196600922895307,0.2177550410816
"318",32,"HC0","x2","power",0.401990478917466,0.415079646603109
"319",32,"HC0","x3","power",0.24314136111978,0.277170910155121
"320",32,"HC0","x4","power",0.22038256772949,0.240951116625586
"321",33,"HC0","x0","size",0.00786909214068772,0.014968653817933
"322",33,"HC0","x1","size",0.0112004438148351,0.0232546614516402
"323",33,"HC0","x2","size",0.0767683221687449,0.0978325670493824
"324",33,"HC0","x3","size",0.161807664733347,0.209145170670482
"325",33,"HC0","x4","size",0.376854104618052,0.413406225319009
"326",33,"HC0","x0","power",0.0194641499189005,0.0309144010833033
"327",33,"HC0","x1","power",0.00383783566192942,0.0103735433862646
"328",33,"HC0","x2","power",0.591139609348714,0.60829649772059
"329",33,"HC0","x3","power",0.865680210497249,0.873958635580683
"330",33,"HC0","x4","power",0.376854104618052,0.413406225319009
"331",34,"HC0","x0","size",0.785613637085168,0.786835704409459
"332",34,"HC0","x1","size",0.588320251063067,0.592546761167655
"333",34,"HC0","x2","size",0.53575692548667,0.547191342599683
"334",34,"HC0","x3","size",0.548292994939073,0.580672398034754
"335",34,"HC0","x4","size",0.871583595330153,0.877091915516888
"336",34,"HC0","x0","power",0.850804434328187,0.851614828854809
"337",34,"HC0","x1","power",0.308262346525245,0.316823281143879
"338",34,"HC0","x2","power",0.228435883970084,0.246465356717319
"339",34,"HC0","x3","power",0.104408429535307,0.149576893204829
"340",34,"HC0","x4","power",0.871583595330153,0.877091915516888
"341",35,"HC0","x0","size",0.729168641305799,0.738245018321076
"342",35,"HC0","x1","size",0.820211394666528,0.827409612578982
"343",35,"HC0","x2","size",0.101427237377798,0.119617192103232
"344",35,"HC0","x3","size",0.678383791278826,0.691908581684829
"345",35,"HC0","x4","size",0.624788723634039,0.641963365257117
"346",35,"HC0","x0","power",0.914358962810847,0.916905188491867
"347",35,"HC0","x1","power",0.514447997525724,0.536223410845439
"348",35,"HC0","x2","power",0.00106151751802495,0.00242995411396129
"349",35,"HC0","x3","power",0.215162620200866,0.246160087949379
"350",35,"HC0","x4","power",0.624788723634039,0.641963365257117
"351",36,"HC0","x0","size",0.183306260246252,0.202978780781747
"352",36,"HC0","x1","size",0.122593897143272,0.149194711724638
"353",36,"HC0","x2","size",0.0723582269364582,0.0915786678850588
"354",36,"HC0","x3","size",0.0857514451431198,0.095862579445593
"355",36,"HC0","x4","size",0.0755587454781252,0.0721690487334628
"356",36,"HC0","x0","power",0.0682164894981775,0.0835165953314337
"357",36,"HC0","x1","power",0.310934176235996,0.339042368796186
"358",36,"HC0","x2","power",0.000786739619811342,0.00233640282512642
"359",36,"HC0","x3","power",0.00144763140004298,0.00249489356748827
"360",36,"HC0","x4","power",0.0755587454781252,0.0721690487334628
"361",37,"HC0","x0","size",0.30526938312552,0.314651900453482
"362",37,"HC0","x1","size",0.852012495570323,0.8562653972023
"363",37,"HC0","x2","size",0.469881611929541,0.484928857343579
"364",37,"HC0","x3","size",0.561181454995701,0.60794158260537
"365",37,"HC0","x4","size",0.906493647969519,0.908527295275974
"366",37,"HC0","x0","power",0.556526989917573,0.564346264234956
"367",37,"HC0","x1","power",0.51202795742271,0.528514654365106
"368",37,"HC0","x2","power",0.0149089981996529,0.0243383480351798
"369",37,"HC0","x3","power",0.119730343353299,0.189349997817921
"370",37,"HC0","x4","power",0.906493647969519,0.908527295275974
"371",38,"HC0","x0","size",0.479025817634089,0.493997560000257
"372",38,"HC0","x1","size",0.743626705597853,0.750029837675225
"373",38,"HC0","x2","size",0.361140337355738,0.37509380642726
"374",38,"HC0","x3","size",0.657856784769135,0.68393635646916
"375",38,"HC0","x4","size",0.133228524835766,0.153672279274895
"376",38,"HC0","x0","power",0.310163070470036,0.330645062031572
"377",38,"HC0","x1","power",0.47723141733158,0.490770240492758
"378",38,"HC0","x2","power",0.579630242824498,0.590301001566111
"379",38,"HC0","x3","power",0.102294937684907,0.143401712992754
"380",38,"HC0","x4","power",0.133228524835766,0.153672279274895
"381",39,"HC0","x0","size",0.360095969862845,0.374453539164943
"382",39,"HC0","x1","size",0.286484954285102,0.321098148070358
"383",39,"HC0","x2","size",0.548456633318412,0.590275493622901
"384",39,"HC0","x3","size",0.164678919562259,0.250492062153641
"385",39,"HC0","x4","size",0.943543699124775,0.944414835641311
"386",39,"HC0","x0","power",0.595376121315731,0.603261049838838
"387",39,"HC0","x1","power",0.154220885757251,0.192074017155166
"388",39,"HC0","x2","power",0.284089687778378,0.348465427046668
"389",39,"HC0","x3","power",0.764936964203256,0.78763506887106
"390",39,"HC0","x4","power",0.943543699124775,0.944414835641311
"391",40,"HC0","x0","size",0.442611234593568,0.466590557093614
"392",40,"HC0","x1","size",0.579127253491797,0.59581980766113
"393",40,"HC0","x2","size",0.24754555670131,0.256900673837062
"394",40,"HC0","x3","size",0.00338099089739286,0.00418320301994139
"395",40,"HC0","x4","size",0.355038220988566,0.418195754096284
"396",40,"HC0","x0","power",0.67877340527049,0.69217364266931
"397",40,"HC0","x1","power",0.307425825747592,0.336934024934903
"398",40,"HC0","x2","power",0.00503706468645762,0.00846491901982208
"399",40,"HC0","x3","power",0.0960516539839531,0.0984925426882552
"400",40,"HC0","x4","power",0.355038220988566,0.418195754096284
"401",41,"HC0","x0","size",0.406077637157577,0.414731646380256
"402",41,"HC0","x1","size",0.297297909961869,0.297772367100751
"403",41,"HC0","x2","size",0.188435086353023,0.204016970466192
"404",41,"HC0","x3","size",0.679474261805725,0.685652545158964
"405",41,"HC0","x4","size",0.51971511952233,0.534249013459216
"406",41,"HC0","x0","power",0.602106026629007,0.606918692191234
"407",41,"HC0","x1","power",0.169172069335456,0.172618690766811
"408",41,"HC0","x2","power",0.65615035223193,0.66286188619451
"409",41,"HC0","x3","power",0.0717376635200969,0.0846461297351159
"410",41,"HC0","x4","power",0.51971511952233,0.534249013459216
"411",42,"HC0","x0","size",0.70657885449874,0.709149823855694
"412",42,"HC0","x1","size",0.482840302380144,0.484832362447727
"413",42,"HC0","x2","size",0.434573495704495,0.44426448525738
"414",42,"HC0","x3","size",0.617907299322617,0.624127096798809
"415",42,"HC0","x4","size",0.924776223916809,0.925560653979132
