"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"78",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x2","size","saddle_V2",0.002,0.032,0.063,0
"79",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","power","naive",0.099,0.209,0.294,0
"80",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","power","saddle_V1",0.049,0.142,0.225,0
"81",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","power","saddle_V2",0.035,0.112,0.187,0
"82",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","size","naive",0.045,0.12,0.184,0
"83",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","size","saddle_V1",0.015,0.073,0.13,0
"84",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x3","size","saddle_V2",0.014,0.06,0.107,0
"85",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","power","naive",0.019,0.063,0.102,0
"86",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","power","saddle_V1",0.008,0.039,0.088,0
"87",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","power","saddle_V2",0.006,0.031,0.075,0
"88",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","size","naive",0.019,0.063,0.102,0
"89",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","size","saddle_V1",0.008,0.039,0.088,0
"90",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC2","x4","size","saddle_V2",0.006,0.031,0.075,0
"91",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","power","naive",0.009,0.032,0.075,0
"92",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","power","saddle_V1",0,0.015,0.052,0
"93",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","power","saddle_V2",0.001,0.012,0.041,0
"94",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","size","naive",0.004,0.031,0.066,0
"95",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","size","saddle_V1",0.002,0.015,0.045,0
"96",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x0","size","saddle_V2",0.003,0.015,0.037,0
"97",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","power","naive",0.008,0.033,0.08,0
"98",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","power","saddle_V1",0.003,0.023,0.056,0
"99",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","power","saddle_V2",0.003,0.015,0.036,0
"100",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","size","naive",0.008,0.034,0.071,0
"101",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","size","saddle_V1",0,0.018,0.048,0
"102",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x1","size","saddle_V2",0,0.015,0.032,0
"103",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","power","naive",0.022,0.094,0.175,0
"104",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","power","saddle_V1",0.01,0.064,0.132,0
"105",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","power","saddle_V2",0.002,0.046,0.098,0
"106",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","size","naive",0.003,0.03,0.059,0
"107",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC3","x2","size","saddle_V1",0,0.015,0.046,0
