"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"10209",10209,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x1","power","saddle_V2",0.122,0.317,0.433,0
"10210",10210,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x1","size","naive",0.009,0.041,0.086,0
"10211",10211,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x1","size","saddle_V1",0.006,0.041,0.081,0
"10212",10212,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x1","size","saddle_V2",0.004,0.033,0.075,0
"10213",10213,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","power","naive",0.998,1,1,0
"10214",10214,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","power","saddle_V1",0.997,1,1,0
"10215",10215,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","power","saddle_V2",0.995,0.997,0.998,0
"10216",10216,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","size","naive",0.004,0.041,0.09,0
"10217",10217,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","size","saddle_V1",0.004,0.036,0.089,0
"10218",10218,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x2","size","saddle_V2",0.002,0.033,0.075,0
"10219",10219,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","power","naive",0.998,1,1,0
"10220",10220,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","power","saddle_V1",0.994,1,1,0
"10221",10221,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","power","saddle_V2",0.968,0.991,0.997,0
"10222",10222,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","size","naive",0.01,0.044,0.085,0
"10223",10223,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","size","saddle_V1",0.006,0.027,0.069,0
"10224",10224,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x3","size","saddle_V2",0.006,0.021,0.057,0
"10225",10225,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","power","naive",0.009,0.048,0.095,0
"10226",10226,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","power","saddle_V1",0.008,0.044,0.095,0
"10227",10227,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","power","saddle_V2",0.006,0.035,0.084,0
"10228",10228,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","size","naive",0.009,0.048,0.095,0
"10229",10229,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","size","saddle_V1",0.008,0.044,0.095,0
"10230",10230,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4","x4","size","saddle_V2",0.006,0.035,0.084,0
"10231",10231,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","power","naive",0.098,0.246,0.381,0
"10232",10232,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","power","saddle_V1",0.094,0.24,0.378,0
"10233",10233,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","power","saddle_V2",0.068,0.212,0.353,0
"10234",10234,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","size","naive",0.008,0.042,0.094,0
"10235",10235,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","size","saddle_V1",0.008,0.042,0.094,0
"10236",10236,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x0","size","saddle_V2",0.007,0.039,0.078,0
"10237",10237,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","power","naive",0.176,0.353,0.468,0
"10238",10238,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","power","saddle_V1",0.162,0.346,0.465,0
"10239",10239,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","power","saddle_V2",0.123,0.317,0.437,0
"10240",10240,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","size","naive",0.009,0.041,0.085,0
"10241",10241,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","size","saddle_V1",0.006,0.04,0.081,0
"10242",10242,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x1","size","saddle_V2",0.005,0.032,0.077,0
"10243",10243,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","power","naive",0.998,1,1,0
"10244",10244,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","power","saddle_V1",0.997,1,1,0
"10245",10245,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","power","saddle_V2",0.994,0.997,0.998,0
"10246",10246,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","size","naive",0.004,0.037,0.088,0
"10247",10247,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","size","saddle_V1",0.004,0.035,0.086,0
"10248",10248,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x2","size","saddle_V2",0.002,0.033,0.075,0
"10249",10249,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","power","naive",1,1,1,0
"10250",10250,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","power","saddle_V1",0.999,1,1,0
"10251",10251,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","power","saddle_V2",0.986,0.997,1,0
"10252",10252,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","size","naive",0.011,0.046,0.091,0
"10253",10253,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","size","saddle_V1",0.008,0.038,0.079,0
"10254",10254,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x3","size","saddle_V2",0.006,0.026,0.067,0
"10255",10255,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","power","naive",0.009,0.045,0.093,0
"10256",10256,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","power","saddle_V1",0.01,0.044,0.093,0
"10257",10257,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","power","saddle_V2",0.005,0.034,0.081,0
"10258",10258,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","size","naive",0.009,0.045,0.093,0
"10259",10259,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","size","saddle_V1",0.01,0.044,0.093,0
"10260",10260,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC4m","x4","size","saddle_V2",0.005,0.034,0.081,0
"10261",10261,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","power","naive",0.106,0.253,0.388,0
"10262",10262,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","power","saddle_V1",0.1,0.246,0.382,0
"10263",10263,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","power","saddle_V2",0.073,0.223,0.354,0
"10264",10264,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","size","naive",0.009,0.046,0.1,0
"10265",10265,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","size","saddle_V1",0.007,0.042,0.093,0
"10266",10266,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x0","size","saddle_V2",0.005,0.037,0.078,0
"10267",10267,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","power","naive",0.186,0.361,0.469,0
"10268",10268,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","power","saddle_V1",0.17,0.348,0.462,0
"10269",10269,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","power","saddle_V2",0.136,0.328,0.444,0
"10270",10270,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","size","naive",0.009,0.044,0.087,0
"10271",10271,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","size","saddle_V1",0.007,0.041,0.086,0
"10272",10272,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x1","size","saddle_V2",0.004,0.037,0.077,0
"10273",10273,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","power","naive",0.998,1,1,0
"10274",10274,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","power","saddle_V1",0.998,1,1,0
"10275",10275,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","power","saddle_V2",0.996,0.998,0.998,0
"10276",10276,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","size","naive",0.005,0.043,0.093,0
"10277",10277,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","size","saddle_V1",0.004,0.04,0.09,0
"10278",10278,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x2","size","saddle_V2",0.002,0.034,0.078,0
"10279",10279,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","power","naive",0.997,0.997,1,0
"10280",10280,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","power","saddle_V1",0.988,0.992,0.994,0
"10281",10281,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","power","saddle_V2",0.96,0.983,0.988,0
"10282",10282,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","size","naive",0.01,0.045,0.091,0
"10283",10283,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","size","saddle_V1",0.007,0.033,0.077,0
"10284",10284,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x3","size","saddle_V2",0.005,0.028,0.067,0
"10285",10285,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","power","naive",0.009,0.05,0.102,0
"10286",10286,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","power","saddle_V1",0.009,0.049,0.096,0
"10287",10287,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","power","saddle_V2",0.006,0.037,0.088,0
"10288",10288,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","size","naive",0.009,0.05,0.102,0
"10289",10289,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","size","saddle_V1",0.009,0.049,0.096,0
"10290",10290,250,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,432508796,"HC5","x4","size","saddle_V2",0.006,0.037,0.088,0
"10291",10291,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","power","naive",0.242,0.476,0.602,0
"10292",10292,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","power","saddle_V1",0.239,0.47,0.602,0
"10293",10293,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","power","saddle_V2",0.217,0.443,0.582,0
"10294",10294,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","size","naive",0.012,0.055,0.101,0
"10295",10295,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","size","saddle_V1",0.013,0.055,0.101,0
"10296",10296,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x0","size","saddle_V2",0.012,0.05,0.091,0
"10297",10297,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","power","naive",0.37,0.597,0.72,0
"10298",10298,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","power","saddle_V1",0.365,0.591,0.721,0
"10299",10299,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","power","saddle_V2",0.33,0.569,0.711,0
"10300",10300,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","size","naive",0.018,0.059,0.112,0
"10301",10301,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","size","saddle_V1",0.017,0.057,0.112,0
"10302",10302,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x1","size","saddle_V2",0.013,0.048,0.098,0
"10303",10303,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","power","naive",1,1,1,0
"10304",10304,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","power","saddle_V1",1,1,1,0
"10305",10305,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","power","saddle_V2",1,1,1,0
"10306",10306,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","size","naive",0.016,0.045,0.122,0
"10307",10307,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","size","saddle_V1",0.014,0.045,0.119,0
"10308",10308,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x2","size","saddle_V2",0.013,0.04,0.104,0
"10309",10309,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","power","naive",1,1,1,0
"10310",10310,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","power","saddle_V1",1,1,1,0
"10311",10311,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","power","saddle_V2",0.999,1,1,0
"10312",10312,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","size","naive",0.007,0.05,0.102,0
"10313",10313,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","size","saddle_V1",0.006,0.042,0.098,0
"10314",10314,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x3","size","saddle_V2",0.004,0.035,0.086,0
"10315",10315,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","power","naive",0.017,0.065,0.11,0
"10316",10316,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","power","saddle_V1",0.017,0.063,0.111,0
"10317",10317,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","power","saddle_V2",0.014,0.054,0.106,0
"10318",10318,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","size","naive",0.017,0.065,0.11,0
"10319",10319,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","size","saddle_V1",0.017,0.063,0.111,0
"10320",10320,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC0","x4","size","saddle_V2",0.014,0.054,0.106,0
"10321",10321,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","power","naive",0.24,0.471,0.601,0
"10322",10322,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","power","saddle_V1",0.238,0.464,0.602,0
"10323",10323,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","power","saddle_V2",0.213,0.439,0.58,0
"10324",10324,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","size","naive",0.012,0.054,0.099,0
"10325",10325,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","size","saddle_V1",0.012,0.053,0.098,0
"10326",10326,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x0","size","saddle_V2",0.011,0.048,0.09,0
"10327",10327,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","power","naive",0.369,0.592,0.72,0
"10328",10328,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","power","saddle_V1",0.36,0.588,0.719,0
"10329",10329,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","power","saddle_V2",0.324,0.563,0.708,0
"10330",10330,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","size","naive",0.018,0.057,0.11,0
"10331",10331,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","size","saddle_V1",0.018,0.058,0.111,0
"10332",10332,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x1","size","saddle_V2",0.013,0.047,0.095,0
"10333",10333,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","power","naive",1,1,1,0
"10334",10334,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","power","saddle_V1",1,1,1,0
"10335",10335,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","power","saddle_V2",1,1,1,0
"10336",10336,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","size","naive",0.014,0.045,0.118,0
"10337",10337,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","size","saddle_V1",0.015,0.044,0.118,0
"10338",10338,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x2","size","saddle_V2",0.014,0.04,0.104,0
"10339",10339,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","power","naive",1,1,1,0
"10340",10340,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","power","saddle_V1",1,1,1,0
"10341",10341,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","power","saddle_V2",0.999,1,1,0
"10342",10342,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","size","naive",0.006,0.047,0.101,0
"10343",10343,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","size","saddle_V1",0.006,0.041,0.094,0
"10344",10344,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x3","size","saddle_V2",0.004,0.035,0.083,0
"10345",10345,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","power","naive",0.016,0.062,0.108,0
"10346",10346,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","power","saddle_V1",0.015,0.061,0.108,0
"10347",10347,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","power","saddle_V2",0.011,0.051,0.102,0
"10348",10348,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","size","naive",0.016,0.062,0.108,0
"10349",10349,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","size","saddle_V1",0.015,0.061,0.108,0
"10350",10350,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC1","x4","size","saddle_V2",0.011,0.051,0.102,0
"10351",10351,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","power","naive",0.24,0.467,0.601,0
"10352",10352,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","power","saddle_V1",0.235,0.463,0.598,0
"10353",10353,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","power","saddle_V2",0.211,0.434,0.578,0
"10354",10354,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","size","naive",0.012,0.054,0.099,0
"10355",10355,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","size","saddle_V1",0.012,0.053,0.097,0
"10356",10356,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x0","size","saddle_V2",0.011,0.047,0.09,0
"10357",10357,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","power","naive",0.367,0.59,0.718,0
"10358",10358,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","power","saddle_V1",0.353,0.583,0.717,0
"10359",10359,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","power","saddle_V2",0.322,0.562,0.704,0
"10360",10360,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","size","naive",0.017,0.057,0.11,0
"10361",10361,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","size","saddle_V1",0.015,0.056,0.108,0
"10362",10362,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x1","size","saddle_V2",0.013,0.046,0.094,0
"10363",10363,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","power","naive",1,1,1,0
"10364",10364,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","power","saddle_V1",1,1,1,0
"10365",10365,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","power","saddle_V2",1,1,1,0
"10366",10366,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","size","naive",0.014,0.045,0.118,0
"10367",10367,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","size","saddle_V1",0.014,0.042,0.115,0
"10368",10368,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x2","size","saddle_V2",0.013,0.039,0.102,0
"10369",10369,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","power","naive",1,1,1,0
"10370",10370,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","power","saddle_V1",1,1,1,0
"10371",10371,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","power","saddle_V2",0.999,1,1,0
"10372",10372,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","size","naive",0.006,0.041,0.096,0
"10373",10373,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","size","saddle_V1",0.005,0.039,0.093,0
"10374",10374,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x3","size","saddle_V2",0.004,0.032,0.077,0
"10375",10375,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","power","naive",0.016,0.061,0.108,0
"10376",10376,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","power","saddle_V1",0.014,0.059,0.107,0
"10377",10377,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","power","saddle_V2",0.012,0.052,0.103,0
"10378",10378,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","size","naive",0.016,0.061,0.108,0
"10379",10379,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","size","saddle_V1",0.014,0.059,0.107,0
"10380",10380,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC2","x4","size","saddle_V2",0.012,0.052,0.103,0
"10381",10381,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","power","naive",0.238,0.463,0.595,0
"10382",10382,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","power","saddle_V1",0.233,0.454,0.588,0
"10383",10383,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","power","saddle_V2",0.21,0.431,0.571,0
"10384",10384,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","size","naive",0.012,0.053,0.096,0
"10385",10385,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","size","saddle_V1",0.013,0.055,0.096,0
"10386",10386,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x0","size","saddle_V2",0.012,0.046,0.09,0
"10387",10387,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x1","power","naive",0.358,0.583,0.714,0
"10388",10388,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x1","power","saddle_V1",0.344,0.577,0.713,0
"10389",10389,500,"1 1 1 1 0 0","T T T T T F","E1","Et","naive saddle",1000,953525822,"HC3","x1","power","saddle_V2",0.317,0.556,0.7,0
