"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"3894",3894,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x3","size","saddle_V2",0.009,0.037,0.074,0
"3895",3895,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","power","naive",0.008,0.05,0.087,0
"3896",3896,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","power","saddle_V1",0.007,0.046,0.086,0
"3897",3897,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","power","saddle_V2",0.007,0.035,0.079,0
"3898",3898,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","size","naive",0.008,0.05,0.087,0
"3899",3899,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","size","saddle_V1",0.007,0.046,0.086,0
"3900",3900,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC3","x4","size","saddle_V2",0.007,0.035,0.079,0
"3901",3901,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","power","naive",0.021,0.085,0.158,0
"3902",3902,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","power","saddle_V1",0.021,0.08,0.154,0
"3903",3903,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","power","saddle_V2",0.014,0.058,0.133,0
"3904",3904,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","size","naive",0.012,0.052,0.078,0
"3905",3905,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","size","saddle_V1",0.009,0.049,0.078,0
"3906",3906,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x0","size","saddle_V2",0.007,0.042,0.071,0
"3907",3907,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","power","naive",0.025,0.103,0.176,0
"3908",3908,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","power","saddle_V1",0.022,0.097,0.172,0
"3909",3909,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","power","saddle_V2",0.016,0.064,0.136,0
"3910",3910,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","size","naive",0.015,0.039,0.079,0
"3911",3911,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","size","saddle_V1",0.015,0.039,0.074,0
"3912",3912,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x1","size","saddle_V2",0.009,0.03,0.056,0
"3913",3913,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","power","naive",0.576,0.793,0.865,0
"3914",3914,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","power","saddle_V1",0.559,0.785,0.864,0
"3915",3915,250,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,228213742,"HC4","x2","power","saddle_V2",0.485,0.745,0.842,0
