"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"55",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","power","naive",0.022,0.074,0.121,0
"56",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","power","saddle_V1",0.015,0.056,0.108,0
"57",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","power","saddle_V2",0.008,0.042,0.089,0
"58",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","size","naive",0.022,0.074,0.121,0
"59",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","size","saddle_V1",0.015,0.056,0.108,0
"60",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC1","x4","size","saddle_V2",0.008,0.042,0.089,0
"61",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","power","naive",0.037,0.103,0.185,0
"62",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","power","saddle_V1",0.023,0.082,0.153,0
"63",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","power","saddle_V2",0.016,0.061,0.128,0
"64",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","size","naive",0.017,0.065,0.11,0
"65",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","size","saddle_V1",0.008,0.048,0.089,0
"66",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x0","size","saddle_V2",0.007,0.038,0.076,0
"67",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","power","naive",0.039,0.112,0.2,0
"68",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","power","saddle_V1",0.022,0.084,0.165,0
"69",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","power","saddle_V2",0.016,0.071,0.134,0
"70",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","size","naive",0.017,0.068,0.116,0
"71",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","size","saddle_V1",0.008,0.05,0.095,0
"72",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x1","size","saddle_V2",0.002,0.04,0.081,0
"73",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","power","naive",0.501,0.724,0.823,0
"74",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","power","saddle_V1",0.398,0.656,0.782,0
"75",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","power","saddle_V2",0.324,0.598,0.735,0
"76",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","size","naive",0.02,0.069,0.105,0
"77",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","size","saddle_V1",0.007,0.049,0.091,0
"78",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x2","size","saddle_V2",0.007,0.041,0.082,0
"79",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","power","naive",0.624,0.801,0.86,0
"80",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","power","saddle_V1",0.473,0.73,0.821,0
"81",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","power","saddle_V2",0.415,0.674,0.777,0
"82",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","size","naive",0.028,0.086,0.138,0
"83",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","size","saddle_V1",0.008,0.045,0.096,0
"84",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x3","size","saddle_V2",0.008,0.042,0.088,0
"85",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","power","naive",0.018,0.064,0.114,0
"86",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","power","saddle_V1",0.013,0.049,0.099,0
"87",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","power","saddle_V2",0.007,0.033,0.082,0
"88",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","size","naive",0.018,0.064,0.114,0
"89",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","size","saddle_V1",0.013,0.049,0.099,0
"90",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC2","x4","size","saddle_V2",0.007,0.033,0.082,0
"91",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","power","naive",0.019,0.063,0.122,0
"92",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","power","saddle_V1",0.01,0.049,0.09,0
"93",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","power","saddle_V2",0.006,0.042,0.071,0
"94",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","size","naive",0.008,0.045,0.073,0
"95",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","size","saddle_V1",0.004,0.026,0.058,0
"96",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x0","size","saddle_V2",0.003,0.016,0.05,0
"97",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","power","naive",0.021,0.067,0.124,0
"98",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","power","saddle_V1",0.008,0.046,0.087,0
"99",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","power","saddle_V2",0.007,0.043,0.078,0
"100",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","size","naive",0.005,0.039,0.071,0
"101",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","size","saddle_V1",0,0.026,0.049,0
"102",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x1","size","saddle_V2",0,0.019,0.044,0
"103",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","power","naive",0.379,0.622,0.735,0
"104",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","power","saddle_V1",0.249,0.537,0.674,0
"105",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","power","saddle_V2",0.19,0.463,0.614,0
"106",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","size","naive",0.008,0.04,0.074,0
"107",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","size","saddle_V1",0.002,0.023,0.056,0
"108",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x2","size","saddle_V2",0.001,0.017,0.046,0
"109",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","power","naive",0.451,0.679,0.772,0
"110",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","power","saddle_V1",0.251,0.504,0.654,0
"111",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","power","saddle_V2",0.209,0.435,0.588,0
"112",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","size","naive",0.012,0.042,0.08,0
"113",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","size","saddle_V1",0.003,0.017,0.041,0
"114",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x3","size","saddle_V2",0.003,0.016,0.039,0
"115",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","power","naive",0.011,0.037,0.084,0
"116",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","power","saddle_V1",0.004,0.029,0.059,0
"117",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","power","saddle_V2",0.003,0.018,0.045,0
"118",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","size","naive",0.011,0.037,0.084,0
"119",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","size","saddle_V1",0.004,0.029,0.059,0
"120",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC3","x4","size","saddle_V2",0.003,0.018,0.045,0
"121",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","power","naive",0.025,0.071,0.123,0
"122",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","power","saddle_V1",0.013,0.052,0.09,0
"123",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","power","saddle_V2",0.006,0.041,0.074,0
"124",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","size","naive",0.01,0.045,0.075,0
"125",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","size","saddle_V1",0.003,0.03,0.058,0
"126",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x0","size","saddle_V2",0.002,0.025,0.05,0
"127",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive saddle",1000,989420947,"HC4","x1","power","naive",0.023,0.067,0.131,0
