"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"88",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","x4","size","Satt",0.013,0.063,0.1145,0
"89",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","xD","power","Satt",0.387,0.6225,0.7395,0
"90",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC1","xD","size","Satt",0.014,0.052,0.1095,0
"91",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x0","power","Satt",0.051,0.157,0.235,0
"92",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x0","size","Satt",0.0115,0.052,0.106,0
"93",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x1","power","Satt",0.0895,0.2305,0.3415,0
"94",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x1","size","Satt",0.011,0.053,0.1045,0
"95",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x3","power","Satt",0.8895,0.9725,0.986,0
"96",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x3","size","Satt",0.0085,0.0555,0.105,0
"97",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x4","power","Satt",0.012,0.0595,0.111,0
"98",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","x4","size","Satt",0.012,0.0595,0.111,0
"99",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","xD","power","Satt",0.371,0.611,0.728,0
"100",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC2","xD","size","Satt",0.012,0.049,0.105,0
"101",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x0","power","Satt",0.032,0.118,0.1965,0
"102",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x0","size","Satt",0.009,0.0325,0.0805,0
"103",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x1","power","Satt",0.0525,0.1755,0.277,0
"104",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x1","size","Satt",0.006,0.035,0.0725,0
"105",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x3","power","Satt",0.6895,0.8625,0.9215,0
"106",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x3","size","Satt",0.0035,0.0265,0.065,0
"107",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x4","power","Satt",0.008,0.042,0.0885,0
"108",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","x4","size","Satt",0.008,0.042,0.0885,0
"109",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","xD","power","Satt",0.3135,0.547,0.6855,0
"110",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC3","xD","size","Satt",0.007,0.0385,0.076,0
"111",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x0","power","Satt",0.029,0.1015,0.1715,0
"112",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x0","size","Satt",0.007,0.0305,0.0725,0
"113",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x1","power","Satt",0.0395,0.127,0.214,0
"114",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x1","size","Satt",0.005,0.0275,0.059,0
"115",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x3","power","Satt",0.3895,0.5475,0.6325,0
"116",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x3","size","Satt",0.003,0.017,0.0395,0
"117",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x4","power","Satt",0.0075,0.042,0.089,0
"118",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","x4","size","Satt",0.0075,0.042,0.089,0
"119",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","xD","power","Satt",0.293,0.531,0.668,0
"120",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4","xD","size","Satt",0.0075,0.038,0.0815,0
"121",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x0","power","Satt",0.029,0.108,0.1835,0
"122",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x0","size","Satt",0.0085,0.0285,0.0715,0
"123",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x1","power","Satt",0.0415,0.153,0.256,0
"124",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x1","size","Satt",0.005,0.028,0.064,0
"125",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x3","power","Satt",0.5685,0.7755,0.85,0
"126",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x3","size","Satt",0.0035,0.02,0.053,0
"127",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x4","power","Satt",0.0075,0.0395,0.082,0
"128",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","x4","size","Satt",0.0075,0.0395,0.082,0
"129",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","xD","power","Satt",0.29,0.53,0.6705,0
"130",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC4m","xD","size","Satt",0.0065,0.0355,0.0675,0
"131",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x0","power","Satt",0.049,0.1525,0.234,0
"132",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x0","size","Satt",0.013,0.0505,0.1015,0
"133",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x1","power","Satt",0.079,0.2155,0.317,0
"134",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x1","size","Satt",0.01,0.0505,0.0955,0
"135",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x3","power","Satt",0.7255,0.8695,0.9155,0
"136",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x3","size","Satt",0.006,0.0395,0.08,0
"137",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x4","power","Satt",0.0135,0.0625,0.113,0
"138",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","x4","size","Satt",0.0135,0.0625,0.113,0
"139",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","xD","power","Satt",0.3775,0.615,0.732,0
"140",50,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,360355557,"HC5","xD","size","Satt",0.012,0.051,0.1085,0
"141",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x0","power","Satt",0.1225,0.2785,0.397,0
"142",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x0","size","Satt",0.0125,0.06,0.1135,0
"143",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x1","power","Satt",0.2115,0.431,0.56,0
"144",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x1","size","Satt",0.0115,0.053,0.1085,0
"145",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x3","power","Satt",0.9995,1,1,0
"146",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x3","size","Satt",0.019,0.0795,0.1305,0
"147",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x4","power","Satt",0.015,0.055,0.114,0
"148",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","x4","size","Satt",0.015,0.055,0.114,0
"149",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","xD","power","Satt",0.7425,0.9065,0.9495,0
"150",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC0","xD","size","Satt",0.0145,0.0515,0.107,0
"151",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x0","power","Satt",0.114,0.2625,0.382,0
"152",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x0","size","Satt",0.0105,0.0515,0.104,0
"153",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x1","power","Satt",0.2,0.4125,0.547,0
"154",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x1","size","Satt",0.009,0.048,0.1005,0
"155",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x3","power","Satt",0.9995,0.9995,1,0
"156",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x3","size","Satt",0.0175,0.072,0.1225,0
"157",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x4","power","Satt",0.012,0.049,0.103,0
"158",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","x4","size","Satt",0.012,0.049,0.103,0
"159",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","xD","power","Satt",0.7215,0.899,0.945,0
"160",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC1","xD","size","Satt",0.0135,0.048,0.099,0
"161",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x0","power","Satt",0.108,0.2545,0.3735,0
"162",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x0","size","Satt",0.0095,0.0475,0.102,0
"163",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x1","power","Satt",0.1875,0.3995,0.535,0
"164",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x1","size","Satt",0.009,0.045,0.096,0
"165",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x3","power","Satt",0.998,0.9995,1,0
"166",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x3","size","Satt",0.013,0.0625,0.108,0
"167",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x4","power","Satt",0.0115,0.0465,0.101,0
"168",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","x4","size","Satt",0.0115,0.0465,0.101,0
"169",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","xD","power","Satt",0.7155,0.8925,0.9435,0
"170",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC2","xD","size","Satt",0.013,0.0465,0.0975,0
"171",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x0","power","Satt",0.093,0.239,0.3465,0
"172",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x0","size","Satt",0.0075,0.039,0.089,0
"173",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x1","power","Satt",0.159,0.368,0.4985,0
"174",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x1","size","Satt",0.0055,0.0385,0.083,0
"175",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x3","power","Satt",0.973,0.992,0.997,0
"176",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x3","size","Satt",0.007,0.0445,0.0835,0
"177",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x4","power","Satt",0.009,0.0395,0.0915,0
"178",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","x4","size","Satt",0.009,0.0395,0.0915,0
"179",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","xD","power","Satt",0.6935,0.8805,0.936,0
"180",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC3","xD","size","Satt",0.0095,0.0425,0.0845,0
"181",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x0","power","Satt",0.0875,0.2235,0.332,0
"182",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x0","size","Satt",0.0075,0.039,0.0855,0
"183",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x1","power","Satt",0.1305,0.324,0.4545,0
"184",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x1","size","Satt",0.0045,0.0335,0.076,0
"185",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x3","power","Satt",0.802,0.8855,0.916,0
"186",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x3","size","Satt",0.004,0.0265,0.057,0
"187",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x4","power","Satt",0.008,0.0415,0.0935,0
"188",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","x4","size","Satt",0.008,0.0415,0.0935,0
"189",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","xD","power","Satt",0.693,0.88,0.9345,0
"190",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4","xD","size","Satt",0.0105,0.041,0.086,0
"191",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4m","x0","power","Satt",0.088,0.231,0.3375,0
"192",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4m","x0","size","Satt",0.0075,0.036,0.085,0
"193",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4m","x1","power","Satt",0.1475,0.3505,0.4825,0
"194",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4m","x1","size","Satt",0.005,0.036,0.081,0
"195",100,"1 1 0 1 0 1","T T F T T T","E0","En","Satt",2000,915009519,"HC4m","x3","power","Satt",0.944,0.9765,0.9865,0
