"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"59",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","size","saddle_V1",0.0125,0.0555,0.1095,0
"60",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC5","xD","size","saddle_V2",0.011,0.0455,0.0935,0
"61",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","power","saddle_V1",0.0245,0.0965,0.172,0
"62",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","power","saddle_V2",0.017,0.0745,0.1435,0
"63",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","size","saddle_V1",0.0055,0.0275,0.066,0
"64",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x0","size","saddle_V2",0.0045,0.0205,0.0535,0
"65",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","power","saddle_V1",0.035,0.1315,0.2315,0
"66",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","power","saddle_V2",0.022,0.1065,0.1945,0
"67",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","size","saddle_V1",0.002,0.027,0.0585,0
"68",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x1","size","saddle_V2",0.0025,0.0195,0.05,0
"69",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x3","power","saddle_V1",0.5425,0.7435,0.821,0
"70",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x3","power","saddle_V2",0.45,0.645,0.7415,0
"71",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x3","size","saddle_V1",0.0035,0.0135,0.04,0
"72",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x3","size","saddle_V2",0.002,0.011,0.0355,0
"73",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x4","power","saddle_V1",0.008,0.037,0.0845,0
"74",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x4","power","saddle_V2",0.005,0.0255,0.0675,0
"75",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x4","size","saddle_V1",0.008,0.037,0.0845,0
"76",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","x4","size","saddle_V2",0.005,0.0255,0.0675,0
"77",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","xD","power","saddle_V1",0.271,0.5125,0.6635,0
"78",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","xD","power","saddle_V2",0.1915,0.437,0.595,0
"79",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","xD","size","saddle_V1",0.0055,0.0345,0.0725,0
"80",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4","xD","size","saddle_V2",0.003,0.025,0.056,0
"81",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x0","power","saddle_V1",0.0235,0.1,0.179,0
"82",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x0","power","saddle_V2",0.017,0.078,0.1525,0
"83",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x0","size","saddle_V1",0.006,0.0245,0.0645,0
"84",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x0","size","saddle_V2",0.0035,0.0195,0.0505,0
"85",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x1","power","saddle_V1",0.031,0.1445,0.2515,0
"86",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x1","power","saddle_V2",0.026,0.121,0.213,0
"87",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x1","size","saddle_V1",0.003,0.027,0.0605,0
"88",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x1","size","saddle_V2",0.002,0.0185,0.0495,0
"89",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x3","power","saddle_V1",0.711,0.8885,0.9355,0
"90",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x3","power","saddle_V2",0.596,0.8175,0.893,0
"91",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x3","size","saddle_V1",0.0025,0.018,0.0445,0
"92",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x3","size","saddle_V2",0.003,0.0165,0.046,0
"93",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x4","power","saddle_V1",0.0065,0.0315,0.076,0
"94",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x4","power","saddle_V2",0.0035,0.0205,0.0665,0
"95",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x4","size","saddle_V1",0.0065,0.0315,0.076,0
"96",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","x4","size","saddle_V2",0.0035,0.0205,0.0665,0
"97",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","xD","power","saddle_V1",0.246,0.5025,0.6515,0
"98",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","xD","power","saddle_V2",0.1815,0.441,0.5955,0
"99",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","xD","size","saddle_V1",0.004,0.0285,0.061,0
"100",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC4m","xD","size","saddle_V2",0.002,0.024,0.0525,0
"101",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x0","power","saddle_V1",0.04,0.1435,0.224,0
"102",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x0","power","saddle_V2",0.0285,0.116,0.195,0
"103",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x0","size","saddle_V1",0.011,0.044,0.096,0
"104",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x0","size","saddle_V2",0.0075,0.033,0.0815,0
"105",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC5","x1","power","saddle_V1",0.0675,0.2,0.3065,0
