MSALabel,MSANo,NumberOfRespondents,DisproportionateBlackDeath,WhiteImplicit,WhiteExplicit,BlackMedianIncome,WhiteMedianIncome,PcentHSdegreeBlack,PcentHSdegreeWhite,PcentBAdegreeBlack,PcentBAdegreeWhite,Segregation,BlackImplicit,BlackExplicit,VioCrime,Unemployment,PopulationDensity,TotalLethalForceRate
"Dothan, AL MSA",20020,305,-.235,.442602604453631,1.07590759075908,23962,46460,.207906334671415,.187842595198452,.0312032853592452,.0996150518501894,.236,-.0934911515626224,-1.71428571428571,407.225,8.9,84.872071551259,1
"Dover, DE MSA",20100,353,-.244,.434679015345081,1.15938303341902,46795,59568,.145123033579222,.208605408528646,.0833961620332092,.0900414766035172,.087,.0197735970462139,-1.72093023255814,520,9.6,276.895025517243,1
"Dubuque, IA MSA",20220,865, ,.392036497390039,1.06923950056754,22102,52205, ,.221901155013919, ,.123018571843226,.055,.00476841679921291,-1.81707317073171,215.24,4.7,153.957401737774, 
"Duluth, MN-WI MSA",20260,1905, ,.411367390936762,1.05909943714822,18518,48364,.0691852832945879,.188181762593726,.0326779197848976,.121184851140139,.024,-.0359495808074079,-1.609375,91.56,7.8,33.2549285064615, 
"Eau Claire, WI MSA",20740,1998, ,.364234248673812,.951084215834594,25536,49728, ,.188097007008334, ,.111584623944532,.025,.0711206835532803,-1,139.625,6.1,97.8834585146624, 
"Elkhart-Goshen, IN MSA",21140,511, ,.39130666484342,.823984526112186,24534,48410,.178287793039315,.187381733752512,.0555768430160686,.0808601967426107,.104,-.174780566852145,-1.86842105263158,236.3,8.7,426.536373480205, 
"Elmira, NY MSA",21300,314, ,.406387882068704,.662420382165605,23523,50049,.0890874444844556,.213657968213102,.0125660184851758,.0886834365365834,.14,-.0755912450158633,-1.94444444444444,205.84,6.1,218.067160244478, 
"El Paso, TX MSA",21340,1022, ,.377626861555074,.471865745310957,50281,56957,.0961844081985331,.0192091259369529,.0930599239159673,.027243316393131,.042,-.0445062321876102,-1.6875,394.3,9,790.611708405705, 
"Erie, PA MSA",21500,1313, ,.398350565696099,.998550724637681,22561,47379,.197836572841472,.248926109333237,.0400050286219184,.115897803024682,.207,-.0473845219860766,-1.51546391752577,246.88,8.5,351.078729352375, 
"Evansville, IN-KY MSA",21780,1503, ,.404018963807841,.90250329380764,23714,50438,.218393390518496,.202410237731292,.0421828329631615,.10522530737325,.16,.0456892702994628,-1,181.5,7,157.041323874376, 
"Fairbanks, AK MSA",21820,457, ,.356144230730615,.555555555555555,63950,72101, ,.115257513795249, ,.108730320658679,.037,-.0334848693937986,-.883720930232558,640.62,8.2,13.2976580715004, 
"Fargo, ND-MN MSA",22020,1791, ,.394920915132237,1.04072883172562,21950,54466,.0747635134006289,.119193449291116,.0822816320666139,.161200880278119,.014,-.0344361450253858,-1.625,101.52,3.9,74.2898476464587, 
"Fayetteville, NC MSA",22180,1013,-.36,.437877506508293,1.06013579049467,38157,51703,.14990508507349,.128052940987304,.077551174136639,.0977033367125082,.108,-.0380978669997105,-1.645443196005,482.5,13.1,351.258235942766,1
"Fayetteville-Springdale-Rogers, AR-MO MSA",22220,1818, ,.397234661037314,.9485254691689,37233,49384,.126907607711723,.158611326931837,.0778997747414615,.115192142576912,.021,-.0229366368874763,-1.75675675675676,344.433333333333,6.2,146.441781385844, 
"Flagstaff, AZ MSA",22380,698, ,.363705865743306,.58806404657933,58438,55472, ,.0718581688643517, ,.14452173668746,.012,-.0445642101505087,-1.58823529411765,365.98,9.7,7.21960520149205, 
"Flint, MI MSA",22420,1545, ,.420960023941873,.979937304075235,25926,47464,.180241582156843,.205613554139831,.044277966680934,.0860261499755897,.512,-.120266025464602,-1.82666666666667,789.8,15.5,668.453914067918, 
"Florence, SC MSA",22500,322,.586,.479717281909405,1.29299363057325,28903,50388,.210750404139514,.190313170477935,.0509233371666508,.108969849114642,.205,-.116479645442563,-1.45833333333333,577.72,14.4,151.027360287128,1
