"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"62",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","power","saddle_V2",0.0065,0.035,0.0815,0
"63",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","size","saddle_V1",0.0025,0.0205,0.0595,0
"64",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x0","size","saddle_V2",5e-04,0.016,0.047,0
"65",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","power","saddle_V1",0.008,0.0545,0.113,0
"66",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","power","saddle_V2",0.0055,0.043,0.095,0
"67",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","size","saddle_V1",0.0015,0.02,0.0485,0
"68",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x1","size","saddle_V2",5e-04,0.0155,0.04,0
"69",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","power","saddle_V1",0.2645,0.51,0.658,0
"70",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","power","saddle_V2",0.218,0.4535,0.593,0
"71",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","size","saddle_V1",0.0015,0.017,0.042,0
"72",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x3","size","saddle_V2",0.002,0.018,0.038,0
"73",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","power","saddle_V1",0.005,0.0265,0.055,0
"74",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","power","saddle_V2",0.0045,0.0205,0.0465,0
"75",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","size","saddle_V1",0.005,0.0265,0.055,0
"76",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","x4","size","saddle_V2",0.0045,0.0205,0.0465,0
"77",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","xD","power","saddle_V1",0.0625,0.19,0.322,0
"78",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","xD","power","saddle_V2",0.049,0.152,0.273,0
"79",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","xD","size","saddle_V1",0.0035,0.031,0.062,0
"80",25,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,987778144,"HC3","xD","size","saddle_V2",0.003,0.027,0.053,0
"81",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x0","power","saddle_V1",0.0615,0.1755,0.259,0
"82",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x0","power","saddle_V2",0.0425,0.149,0.235,0
"83",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x0","size","saddle_V1",0.0135,0.061,0.126,0
"84",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x0","size","saddle_V2",0.011,0.047,0.1095,0
"85",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x1","power","saddle_V1",0.1025,0.256,0.378,0
"86",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x1","power","saddle_V2",0.072,0.227,0.3425,0
"87",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x1","size","saddle_V1",0.0135,0.066,0.1245,0
"88",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x1","size","saddle_V2",0.0095,0.053,0.1065,0
"89",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x3","power","saddle_V1",0.9315,0.981,0.992,0
"90",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x3","power","saddle_V2",0.9025,0.974,0.9885,0
"91",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x3","size","saddle_V1",0.0175,0.0755,0.13,0
"92",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x3","size","saddle_V2",0.014,0.0675,0.1225,0
"93",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x4","power","saddle_V1",0.0135,0.0675,0.1245,0
"94",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x4","power","saddle_V2",0.0105,0.055,0.11,0
"95",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x4","size","saddle_V1",0.0135,0.0675,0.1245,0
"96",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","x4","size","saddle_V2",0.0105,0.055,0.11,0
"97",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","xD","power","saddle_V1",0.387,0.6355,0.75,0
"98",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","xD","power","saddle_V2",0.3045,0.577,0.7135,0
"99",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","xD","size","saddle_V1",0.0125,0.0555,0.1185,0
"100",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC0","xD","size","saddle_V2",0.009,0.046,0.099,0
"101",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x0","power","saddle_V1",0.048,0.1505,0.233,0
"102",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x0","power","saddle_V2",0.034,0.1275,0.212,0
"103",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x0","size","saddle_V1",0.0115,0.0495,0.1045,0
"104",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x0","size","saddle_V2",0.008,0.0385,0.09,0
"105",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x1","power","saddle_V1",0.0825,0.228,0.343,0
"106",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x1","power","saddle_V2",0.0565,0.201,0.311,0
"107",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x1","size","saddle_V1",0.009,0.0525,0.104,0
"108",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x1","size","saddle_V2",0.008,0.042,0.0885,0
"109",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x3","power","saddle_V1",0.9165,0.9775,0.989,0
"110",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x3","power","saddle_V2",0.8815,0.967,0.985,0
"111",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x3","size","saddle_V1",0.012,0.061,0.111,0
"112",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x3","size","saddle_V2",0.0095,0.054,0.104,0
"113",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x4","power","saddle_V1",0.01,0.0565,0.1115,0
"114",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x4","power","saddle_V2",0.007,0.0415,0.0935,0
"115",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x4","size","saddle_V1",0.01,0.0565,0.1115,0
"116",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","x4","size","saddle_V2",0.007,0.0415,0.0935,0
"117",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","xD","power","saddle_V1",0.3415,0.5905,0.722,0
"118",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","xD","power","saddle_V2",0.263,0.5355,0.684,0
"119",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","xD","size","saddle_V1",0.0085,0.0455,0.099,0
"120",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC1","xD","size","saddle_V2",0.0055,0.0345,0.0765,0
"121",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x0","power","saddle_V1",0.0425,0.1425,0.2245,0
"122",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x0","power","saddle_V2",0.0295,0.1195,0.198,0
"123",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x0","size","saddle_V1",0.0115,0.045,0.0975,0
"124",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x0","size","saddle_V2",0.0075,0.033,0.0845,0
"125",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x1","power","saddle_V1",0.0725,0.2105,0.3225,0
"126",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x1","power","saddle_V2",0.051,0.186,0.2925,0
"127",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x1","size","saddle_V1",0.01,0.0485,0.092,0
"128",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x1","size","saddle_V2",0.007,0.0355,0.0785,0
"129",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x3","power","saddle_V1",0.885,0.9675,0.9855,0
"130",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x3","power","saddle_V2",0.8315,0.9465,0.975,0
"131",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x3","size","saddle_V1",0.0065,0.0465,0.0945,0
"132",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x3","size","saddle_V2",0.0055,0.039,0.087,0
"133",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x4","power","saddle_V1",0.011,0.0545,0.1085,0
"134",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x4","power","saddle_V2",0.007,0.039,0.088,0
"135",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x4","size","saddle_V1",0.011,0.0545,0.1085,0
"136",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","x4","size","saddle_V2",0.007,0.039,0.088,0
"137",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","xD","power","saddle_V1",0.3265,0.575,0.7085,0
"138",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","xD","power","saddle_V2",0.253,0.5185,0.672,0
"139",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","xD","size","saddle_V1",0.0095,0.043,0.0935,0
"140",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC2","xD","size","saddle_V2",0.006,0.035,0.0705,0
"141",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x0","power","saddle_V1",0.0245,0.1095,0.1885,0
"142",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x0","power","saddle_V2",0.02,0.0915,0.1645,0
"143",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x0","size","saddle_V1",0.0065,0.0265,0.071,0
"144",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x0","size","saddle_V2",0.0045,0.022,0.058,0
"145",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x1","power","saddle_V1",0.041,0.163,0.2665,0
"146",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x1","power","saddle_V2",0.0285,0.1375,0.2395,0
"147",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x1","size","saddle_V1",0.004,0.0305,0.0665,0
"148",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x1","size","saddle_V2",0.0025,0.021,0.0575,0
"149",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x3","power","saddle_V1",0.784,0.924,0.963,0
"150",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x3","power","saddle_V2",0.6885,0.8755,0.929,0
"151",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x3","size","saddle_V1",0.003,0.021,0.0595,0
"152",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x3","size","saddle_V2",0.004,0.02,0.054,0
"153",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x4","power","saddle_V1",0.0075,0.035,0.0805,0
"154",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x4","power","saddle_V2",0.005,0.023,0.069,0
"155",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x4","size","saddle_V1",0.0075,0.035,0.0805,0
"156",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","x4","size","saddle_V2",0.005,0.023,0.069,0
"157",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","xD","power","saddle_V1",0.2615,0.5185,0.6665,0
"158",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","xD","power","saddle_V2",0.1955,0.4595,0.618,0
"159",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","xD","size","saddle_V1",0.006,0.032,0.0655,0
"160",50,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,360355557,"HC3","xD","size","saddle_V2",0.0025,0.0245,0.0555,0
"161",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x0","power","saddle_V1",0.116,0.2725,0.3925,0
"162",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x0","power","saddle_V2",0.096,0.25,0.37,0
"163",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x0","size","saddle_V1",0.0105,0.056,0.1105,0
"164",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x0","size","saddle_V2",0.009,0.044,0.101,0
"165",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x1","power","saddle_V1",0.2025,0.4265,0.557,0
"166",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x1","power","saddle_V2",0.1665,0.393,0.5335,0
"167",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x1","size","saddle_V1",0.009,0.0515,0.104,0
"168",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x1","size","saddle_V2",0.0075,0.0425,0.0985,0
"169",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x3","power","saddle_V1",0.9995,0.9995,1,0
"170",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x3","power","saddle_V2",0.996,0.9995,1,0
"171",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x3","size","saddle_V1",0.0155,0.0725,0.1215,0
"172",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x3","size","saddle_V2",0.012,0.065,0.112,0
"173",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x4","power","saddle_V1",0.0145,0.055,0.112,0
"174",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x4","power","saddle_V2",0.01,0.043,0.1005,0
"175",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x4","size","saddle_V1",0.0145,0.055,0.112,0
"176",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","x4","size","saddle_V2",0.01,0.043,0.1005,0
"177",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","xD","power","saddle_V1",0.7285,0.904,0.947,0
"178",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","xD","power","saddle_V2",0.6725,0.88,0.939,0
"179",100,"1 1 0 1 0 1","T T F T T T","E0","En","saddle",2000,915009519,"HC0","xD","size","saddle_V1",0.0135,0.0495,0.103,0
