"","g","n","B","whichX","alpha_string","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"82",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","KCp_H",0,0.002,0.003,0.015,0.028
"83",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","naive",0,0.004,0.01,0.042,0.066
"84",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","RCI_E",0,0.001,0.003,0.011,0.019
"85",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","RCI_H",0,0,0,0.001,0.008
"86",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","Rp_E",0,0.001,0.002,0.007,0.011
"87",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","Rp_H",0,0,0,0,0
"88",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","saddle_E",0,0,0.001,0.014,0.032
"89",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","saddle_H",0,0,0.001,0.012,0.026
"90",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","Satt_E",0,0,0,0.004,0.015
"91",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","power","Satt_H",0,0,0,0.007,0.02
"92",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","KCCI_E",0,0,0,0.005,0.016
"93",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","KCCI_H",0,0,0,0.01,0.025
"94",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","KCp_E",0,0.001,0.004,0.01,0.022
"95",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","KCp_H",0,0.002,0.003,0.015,0.028
"96",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","naive",0,0.004,0.01,0.042,0.066
"97",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","RCI_E",0,0.001,0.003,0.011,0.019
"98",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","RCI_H",0,0,0,0.001,0.008
"99",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","Rp_E",0,0.001,0.002,0.007,0.011
"100",0,20,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",1,1000,26742175,"HC3","x4","size","Rp_H",0,0,0,0,0
