"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"81",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","KCp_E",0,0,0,0,0
"82",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","KCp_H",0,0,0,0,0
"83",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","naive",0,0,0,0,0
"84",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","RCI_E",0,0,0,0,0
"85",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","RCI_H",0,0,0,0,0
"86",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","Rp_E",0,0,0,0,0
"87",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","Rp_H",0,0,0,0,0
"88",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","saddle_E",0,0,0,0,0
"89",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","saddle_H",0,0,0,0,0
"90",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","Satt_E",0,0,0,0,0
"91",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"HC5","x4","size","Satt_H",0,0,0,0,0
"92",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","KCCI_E",1,0,0,0,0
"93",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","KCCI_H",1,0,0,0,0
"94",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","KCp_E",1,0,0,0,0
"95",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","KCp_H",1,0,0,0,0
"96",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","naive",0,0,0,0.1,0.1
"97",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","RCI_E",1,0,0,0,0
"98",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","RCI_H",1,0,0,0,0
"99",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","Rp_E",1,0,0,0,0
"100",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","Rp_H",1,0,0,0,0
"101",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","saddle_E",1,0,0,0,0
"102",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","saddle_H",1,0,0,0,0
"103",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","Satt_E",1,0,0,0,0
"104",0,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,1,10,148578816,"OLS","x4","size","Satt_H",1,0,0,0,0
"105",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","KCCI_E",0,0,0.1,0.1,0.2
"106",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","KCCI_H",0,0,0,0.1,0.2
"107",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","KCp_E",0,0,0.1,0.1,0.2
"108",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","KCp_H",0,0,0,0.1,0.2
"109",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","naive",0,0.1,0.1,0.1,0.2
"110",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","RCI_E",0,0.1,0.1,0.1,0.2
"111",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","RCI_H",0,0,0,0.1,0.2
"112",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","Rp_E",0,0.1,0.1,0.1,0.2
"113",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","Rp_H",0,0,0,0.1,0.2
"114",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","saddle_E",0,0,0.1,0.1,0.2
"115",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","saddle_H",0,0,0.1,0.1,0.2
"116",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","Satt_E",0,0,0.1,0.1,0.2
"117",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC0","x4","size","Satt_H",0,0,0,0.1,0.2
"118",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","KCCI_E",0,0,0.1,0.1,0.2
"119",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","KCCI_H",0,0,0,0.1,0.2
"120",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","KCp_E",0,0,0.1,0.1,0.2
"121",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","KCp_H",0,0,0,0.1,0.2
"122",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","naive",0,0.1,0.1,0.1,0.2
"123",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC1","x4","size","RCI_E",0,0.1,0.1,0.1,0.2
