"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"9655",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","size","saddle_V1",0,0,0
"9656",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x1","size","saddle_V2",0,0,0
"9657",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","power","naive",0,1,1
"9658",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","power","Satt",0,1,1
"9659",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","power","saddle_V1",0,1,1
"9660",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","power","saddle_V2",0,1,1
"9661",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","size","naive",0,0,0
"9662",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","size","Satt",0,0,0
"9663",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","size","saddle_V1",0,0,0
"9664",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x2","size","saddle_V2",0,0,0
"9665",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","power","naive",0,0,0
"9666",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","power","Satt",0,0,0
"9667",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","power","saddle_V1",0,0,0
"9668",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","power","saddle_V2",0,0,0
"9669",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","size","naive",0,0,0
"9670",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","size","Satt",0,0,0
"9671",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","size","saddle_V1",0,0,0
"9672",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x3","size","saddle_V2",0,0,0
"9673",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","power","naive",0,0,0
"9674",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","power","Satt",0,0,0
"9675",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","power","saddle_V1",0,0,0
"9676",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","power","saddle_V2",0,0,0
"9677",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","size","naive",0,0,0
"9678",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","size","Satt",0,0,0
"9679",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","size","saddle_V1",0,0,0
"9680",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC2","x4","size","saddle_V2",0,0,0
"9681",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","power","naive",0,0,0
"9682",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","power","Satt",0,0,0
"9683",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","power","saddle_V1",0,0,0
"9684",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","power","saddle_V2",0,0,0
"9685",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","size","naive",0,0,0
"9686",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","size","Satt",0,0,0
"9687",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","size","saddle_V1",0,0,0
"9688",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x0","size","saddle_V2",0,0,0
"9689",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","power","naive",0,0,0
"9690",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","power","Satt",0,0,0
"9691",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","power","saddle_V1",0,0,0
"9692",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","power","saddle_V2",0,0,0
"9693",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","size","naive",0,0,0
"9694",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","size","Satt",0,0,0
"9695",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","size","saddle_V1",0,0,0
"9696",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x1","size","saddle_V2",0,0,0
"9697",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","power","naive",0,1,1
"9698",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","power","Satt",0,1,1
"9699",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","power","saddle_V1",0,1,1
"9700",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","power","saddle_V2",0,1,1
"9701",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","size","naive",0,0,0
"9702",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","size","Satt",0,0,0
"9703",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","size","saddle_V1",0,0,0
"9704",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x2","size","saddle_V2",0,0,0
"9705",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","power","naive",0,0,0
"9706",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","power","Satt",0,0,0
"9707",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","power","saddle_V1",0,0,0
"9708",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","power","saddle_V2",0,0,0
"9709",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","size","naive",0,0,0
"9710",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","size","Satt",0,0,0
"9711",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","size","saddle_V1",0,0,0
"9712",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x3","size","saddle_V2",0,0,0
"9713",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","power","naive",0,0,0
"9714",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","power","Satt",0,0,0
"9715",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","power","saddle_V1",0,0,0
"9716",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","power","saddle_V2",0,0,0
"9717",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","size","naive",0,0,0
"9718",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","size","Satt",0,0,0
"9719",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","size","saddle_V1",0,0,0
"9720",100,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,30228202,"HC4","x4","size","saddle_V2",0,0,0
"9721",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","power","naive",0,0,0
"9722",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","power","Satt",0,0,0
"9723",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","power","saddle_V1",0,0,0
"9724",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","power","saddle_V2",0,0,0
"9725",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","size","naive",0,0,0
"9726",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","size","Satt",0,0,0
"9727",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","size","saddle_V1",0,0,0
"9728",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x0","size","saddle_V2",0,0,0
"9729",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","power","naive",0,0,1
"9730",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC0","x1","power","Satt",0,0,0
