"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"93",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","size","naive",0,0,0
"94",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","size","Satt",0,0,0
"95",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","size","saddle_V1",0,0,0
"96",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x1","size","saddle_V2",0,0,0
"97",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","power","naive",0,0,0
"98",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","power","Satt",0,0,0
"99",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","power","saddle_V1",0,0,0
"100",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","power","saddle_V2",0,0,0
"101",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","size","naive",0,0,0
"102",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","size","Satt",0,0,0
"103",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","size","saddle_V1",0,0,0
"104",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x2","size","saddle_V2",0,0,0
"105",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","power","naive",0,0,1
"106",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","power","Satt",0,0,0
"107",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","power","saddle_V1",0,0,0
"108",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","power","saddle_V2",0,0,0
"109",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","size","naive",0,0,0
"110",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","size","Satt",0,0,0
"111",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","size","saddle_V1",0,0,0
"112",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x3","size","saddle_V2",0,0,0
"113",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","power","naive",0,0,0
"114",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","power","Satt",0,0,0
"115",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","power","saddle_V1",0,0,0
"116",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","power","saddle_V2",0,0,0
"117",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","size","naive",0,0,0
"118",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","size","Satt",0,0,0
"119",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","size","saddle_V1",0,0,0
"120",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC4m","x4","size","saddle_V2",0,0,0
"121",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","power","naive",0,0,0
"122",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","power","Satt",0,0,0
"123",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","power","saddle_V1",0,0,0
"124",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","power","saddle_V2",0,0,0
"125",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","size","naive",0,0,1
"126",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","size","Satt",0,0,1
"127",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","size","saddle_V1",0,0,0
"128",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x0","size","saddle_V2",0,0,0
"129",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","power","naive",0,0,1
"130",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","power","Satt",0,0,1
"131",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","power","saddle_V1",0,0,1
"132",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","power","saddle_V2",0,0,0
"133",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","size","naive",0,0,0
"134",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","size","Satt",0,0,0
"135",25,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,922318465,"HC5","x1","size","saddle_V1",0,0,0
