"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"638",250,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,312433433,"B2","Power",0.157,0.164,0.159,0.155,0.144,0.161,0.16,0.161
"639",250,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,312433433,"B3","Power",1,0.992,0.99,0.986,0.98,0.989,0.987,0.989
"640",250,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,312433433,"B4","Power",0.766,0.786,0.778,0.772,0.761,0.783,0.78,0.783
"641",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B0","Size",0.071,0.064,0.063,0.061,0.059,0.064,0.063,0.064
"642",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B1","Size",0.115,0.089,0.089,0.086,0.079,0.088,0.088,0.088
"643",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B2","Size",0.051,0.06,0.057,0.056,0.054,0.058,0.058,0.058
"644",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B3","Size",1,0.999,0.999,0.999,0.998,0.999,0.999,0.999
"645",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B4","Size",0.959,0.96,0.958,0.958,0.957,0.96,0.959,0.96
"646",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B0","Power",0.106,0.097,0.096,0.094,0.089,0.096,0.096,0.096
"647",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B1","Power",0.151,0.126,0.124,0.122,0.116,0.125,0.124,0.125
"648",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B2","Power",0.243,0.256,0.254,0.252,0.244,0.254,0.253,0.254
"649",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B3","Power",1,1,1,1,1,1,1,1
"650",500,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,677655761,"B4","Power",0.959,0.96,0.958,0.958,0.957,0.96,0.959,0.96
"651",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B0","Size",0.071,0.065,0.064,0.064,0.062,0.065,0.064,0.065
"652",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B1","Size",0.163,0.122,0.121,0.118,0.117,0.121,0.121,0.121
"653",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B2","Size",0.052,0.056,0.056,0.056,0.055,0.056,0.056,0.056
"654",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B3","Size",1,1,1,1,1,1,1,1
"655",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B4","Size",0.999,1,1,1,1,1,1,1
"656",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B0","Power",0.116,0.111,0.11,0.106,0.105,0.11,0.109,0.11
"657",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B1","Power",0.261,0.211,0.21,0.206,0.203,0.21,0.209,0.21
"658",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B2","Power",0.434,0.437,0.436,0.435,0.429,0.436,0.436,0.436
"659",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B3","Power",1,1,1,1,1,1,1,1
"660",1000,"1 1 1 1 0 0","E3","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,911484205,"B4","Power",0.999,1,1,1,1,1,1,1
"661",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B0","Size",0.055,0.104,0.072,0.064,0.025,0.087,0.077,0.087
"662",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B1","Size",0.098,0.14,0.093,0.084,0.039,0.119,0.101,0.119
"663",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B2","Size",0.069,0.113,0.076,0.059,0.036,0.094,0.078,0.094
"664",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B3","Size",0.246,0.294,0.246,0.198,0.116,0.266,0.234,0.266
"665",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B4","Size",0.053,0.09,0.066,0.056,0.023,0.081,0.071,0.081
"666",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B0","Power",0.049,0.099,0.069,0.058,0.023,0.088,0.072,0.088
"667",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B1","Power",0.103,0.152,0.102,0.091,0.041,0.127,0.106,0.127
"668",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B2","Power",0.113,0.176,0.132,0.111,0.058,0.155,0.134,0.155
"669",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B3","Power",0.324,0.405,0.327,0.267,0.156,0.359,0.309,0.359
"670",25,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,274784697,"B4","Power",0.053,0.09,0.066,0.056,0.023,0.081,0.071,0.081
"671",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B0","Size",0.063,0.1,0.083,0.081,0.063,0.094,0.085,0.094
"672",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B1","Size",0.121,0.154,0.137,0.13,0.1,0.145,0.139,0.145
"673",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B2","Size",0.096,0.12,0.099,0.091,0.064,0.113,0.101,0.113
"674",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B3","Size",0.434,0.424,0.388,0.35,0.269,0.405,0.377,0.405
"675",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B4","Size",0.043,0.065,0.052,0.051,0.04,0.061,0.055,0.061
"676",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B0","Power",0.056,0.088,0.08,0.077,0.05,0.086,0.083,0.086
"677",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B1","Power",0.141,0.177,0.152,0.143,0.114,0.171,0.157,0.171
"678",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B2","Power",0.181,0.245,0.213,0.198,0.154,0.23,0.217,0.23
"679",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B3","Power",0.583,0.587,0.553,0.497,0.385,0.572,0.539,0.572
"680",50,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,326184366,"B4","Power",0.043,0.065,0.052,0.051,0.04,0.061,0.055,0.061
"681",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B0","Size",0.074,0.101,0.092,0.083,0.071,0.095,0.093,0.095
"682",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B1","Size",0.158,0.187,0.178,0.167,0.134,0.184,0.181,0.184
"683",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B2","Size",0.203,0.225,0.215,0.207,0.184,0.223,0.22,0.223
"684",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B3","Size",0.728,0.646,0.631,0.584,0.531,0.636,0.62,0.636
"685",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B4","Size",0.052,0.068,0.061,0.055,0.047,0.064,0.064,0.064
"686",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B0","Power",0.062,0.075,0.069,0.066,0.055,0.074,0.07,0.074
"687",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B1","Power",0.202,0.227,0.217,0.208,0.176,0.223,0.217,0.223
"688",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B2","Power",0.376,0.407,0.393,0.389,0.357,0.401,0.395,0.401
"689",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B3","Power",0.865,0.828,0.814,0.785,0.726,0.816,0.804,0.816
"690",100,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,393744967,"B4","Power",0.052,0.068,0.061,0.055,0.047,0.064,0.064,0.064
"691",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B0","Size",0.161,0.191,0.186,0.18,0.176,0.19,0.187,0.19
"692",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B1","Size",0.385,0.379,0.371,0.365,0.354,0.377,0.371,0.377
"693",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B2","Size",0.386,0.42,0.412,0.404,0.391,0.417,0.412,0.417
"694",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B3","Size",0.972,0.95,0.946,0.933,0.911,0.944,0.938,0.944
"695",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B4","Size",0.043,0.044,0.043,0.041,0.038,0.044,0.043,0.044
"696",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B0","Power",0.115,0.136,0.131,0.128,0.121,0.134,0.134,0.134
"697",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B1","Power",0.47,0.442,0.436,0.431,0.421,0.44,0.436,0.44
"698",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B2","Power",0.726,0.739,0.737,0.733,0.725,0.739,0.737,0.739
"699",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B3","Power",0.999,0.997,0.996,0.992,0.984,0.996,0.996,0.996
"700",250,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,1009345500,"B4","Power",0.043,0.044,0.043,0.041,0.038,0.044,0.043,0.044
"701",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B0","Size",0.292,0.335,0.33,0.324,0.32,0.333,0.331,0.333
"702",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B1","Size",0.676,0.638,0.635,0.632,0.625,0.637,0.636,0.637
"703",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B2","Size",0.63,0.641,0.633,0.631,0.627,0.637,0.633,0.637
"704",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B3","Size",0.999,0.996,0.996,0.995,0.992,0.996,0.996,0.996
"705",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B4","Size",0.047,0.047,0.047,0.047,0.044,0.047,0.047,0.047
"706",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B0","Power",0.207,0.226,0.223,0.222,0.216,0.225,0.225,0.225
"707",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B1","Power",0.764,0.753,0.748,0.745,0.737,0.752,0.749,0.752
"708",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B2","Power",0.959,0.959,0.959,0.958,0.956,0.959,0.959,0.959
"709",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B3","Power",1,1,1,1,1,1,1,1
"710",500,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,231905413,"B4","Power",0.047,0.047,0.047,0.047,0.044,0.047,0.047,0.047
"711",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B0","Size",0.556,0.581,0.578,0.577,0.571,0.579,0.578,0.579
"712",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B1","Size",0.917,0.894,0.893,0.892,0.892,0.894,0.893,0.894
"713",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B2","Size",0.914,0.918,0.918,0.917,0.917,0.918,0.918,0.918
"714",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B3","Size",1,1,1,1,1,1,1,1
"715",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B4","Size",0.039,0.042,0.041,0.039,0.038,0.042,0.042,0.042
"716",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B0","Power",0.384,0.417,0.412,0.41,0.405,0.414,0.412,0.414
"717",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B1","Power",0.968,0.953,0.952,0.952,0.949,0.952,0.952,0.952
"718",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B2","Power",1,1,1,1,1,1,1,1
"719",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B3","Power",1,1,1,1,1,1,1,1
"720",1000,"1 1 1 1 0 0","E4","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,946630238,"B4","Power",0.039,0.042,0.041,0.039,0.038,0.042,0.042,0.042
"721",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B0","Size",0.091,0.156,0.107,0.094,0.056,0.137,0.111,0.137
"722",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B1","Size",0.048,0.09,0.065,0.056,0.023,0.073,0.068,0.073
"723",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B2","Size",0.083,0.13,0.092,0.08,0.054,0.113,0.095,0.113
"724",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B3","Size",0.048,0.122,0.086,0.068,0.032,0.104,0.086,0.104
"725",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B4","Size",0.044,0.093,0.061,0.056,0.027,0.082,0.066,0.082
"726",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B0","Power",0.113,0.197,0.144,0.128,0.069,0.172,0.149,0.172
"727",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B1","Power",0.053,0.096,0.072,0.062,0.032,0.086,0.076,0.086
"728",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B2","Power",0.24,0.329,0.268,0.246,0.158,0.299,0.272,0.299
"729",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B3","Power",0.145,0.229,0.176,0.148,0.078,0.201,0.173,0.201
"730",25,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,229830499,"B4","Power",0.044,0.093,0.061,0.056,0.027,0.082,0.066,0.082
"731",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B0","Size",0.139,0.192,0.168,0.156,0.126,0.186,0.172,0.186
"732",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B1","Size",0.049,0.08,0.059,0.057,0.037,0.069,0.063,0.069
"733",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B2","Size",0.138,0.16,0.146,0.139,0.113,0.154,0.148,0.154
"734",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B3","Size",0.05,0.098,0.077,0.072,0.043,0.084,0.078,0.084
"735",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B4","Size",0.058,0.064,0.055,0.052,0.041,0.062,0.058,0.062
"736",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B0","Power",0.19,0.249,0.227,0.219,0.171,0.244,0.23,0.244
"737",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B1","Power",0.067,0.097,0.084,0.077,0.058,0.093,0.087,0.093
"738",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B2","Power",0.434,0.508,0.469,0.455,0.396,0.496,0.482,0.496
"739",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B3","Power",0.244,0.311,0.277,0.245,0.175,0.293,0.272,0.293
"740",50,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,178312238,"B4","Power",0.058,0.064,0.055,0.052,0.041,0.062,0.058,0.062
"741",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B0","Size",0.242,0.275,0.259,0.257,0.236,0.269,0.262,0.269
"742",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B1","Size",0.058,0.067,0.055,0.055,0.046,0.062,0.06,0.062
"743",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B2","Size",0.203,0.229,0.209,0.205,0.183,0.22,0.212,0.22
"744",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B3","Size",0.055,0.083,0.077,0.067,0.052,0.079,0.077,0.079
"745",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B4","Size",0.045,0.046,0.043,0.04,0.034,0.046,0.043,0.046
"746",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B0","Power",0.344,0.396,0.378,0.372,0.341,0.393,0.388,0.393
"747",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B1","Power",0.083,0.111,0.104,0.101,0.084,0.11,0.105,0.11
"748",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B2","Power",0.75,0.777,0.765,0.76,0.741,0.775,0.767,0.775
"749",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B3","Power",0.411,0.47,0.45,0.426,0.377,0.454,0.445,0.454
"750",100,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,837866134,"B4","Power",0.045,0.046,0.043,0.04,0.034,0.046,0.043,0.046
"751",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B0","Size",0.5,0.54,0.53,0.528,0.515,0.536,0.533,0.536
"752",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B1","Size",0.064,0.077,0.072,0.071,0.067,0.077,0.076,0.077
"753",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B2","Size",0.455,0.47,0.459,0.457,0.441,0.467,0.463,0.467
"754",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B3","Size",0.042,0.053,0.051,0.046,0.04,0.052,0.051,0.052
"755",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B4","Size",0.041,0.044,0.042,0.042,0.038,0.044,0.043,0.044
"756",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B0","Power",0.697,0.713,0.706,0.703,0.698,0.711,0.71,0.711
"757",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B1","Power",0.179,0.187,0.181,0.179,0.173,0.185,0.182,0.185
"758",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B2","Power",0.986,0.986,0.985,0.984,0.983,0.986,0.985,0.986
"759",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B3","Power",0.821,0.866,0.86,0.855,0.844,0.863,0.861,0.863
"760",250,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,271682534,"B4","Power",0.041,0.044,0.042,0.042,0.038,0.044,0.043,0.044
"761",500,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,33733150,"B0","Size",0.806,0.823,0.823,0.823,0.819,0.823,0.823,0.823
"762",500,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,33733150,"B1","Size",0.1,0.1,0.098,0.096,0.095,0.1,0.099,0.1
"763",500,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,33733150,"B2","Size",0.757,0.765,0.76,0.76,0.756,0.765,0.762,0.765
"764",500,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,33733150,"B3","Size",0.051,0.059,0.059,0.058,0.057,0.059,0.059,0.059
"765",500,"1 1 1 1 0 0","E5","T T T T T F","Ech","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,33733150,"B4","Size",0.055,0.059,0.055,0.055,0.055,0.056,0.056,0.056
