"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3","HC4","HC4m","HC5"
"52",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B1","Size",0.053,0.056,0.056,0.056,0.055,0.056,0.056,0.056
"53",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B2","Size",0.041,0.041,0.041,0.041,0.04,0.041,0.041,0.041
"54",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B3","Size",0.049,0.058,0.058,0.056,0.054,0.058,0.058,0.058
"55",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B4","Size",0.047,0.049,0.048,0.048,0.047,0.049,0.048,0.049
"56",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B0","Power",0.978,0.98,0.98,0.98,0.979,0.98,0.98,0.98
"57",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B1","Power",0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
"58",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B2","Power",1,1,1,1,1,1,1,1
"59",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B3","Power",1,1,1,1,1,1,1,1
"60",1000,"1 1 1 1 0 0","E0","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,867559304,"B4","Power",0.047,0.049,0.048,0.048,0.047,0.049,0.048,0.049
"61",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B0","Size",0.046,0.111,0.08,0.071,0.033,0.097,0.083,0.097
"62",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B1","Size",0.049,0.105,0.068,0.065,0.029,0.086,0.076,0.086
"63",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B2","Size",0.055,0.11,0.08,0.071,0.042,0.099,0.087,0.099
"64",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B3","Size",0.043,0.114,0.092,0.073,0.038,0.098,0.086,0.098
"65",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B4","Size",0.05,0.106,0.078,0.074,0.043,0.094,0.083,0.094
"66",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B0","Power",0.087,0.147,0.119,0.11,0.066,0.135,0.12,0.135
"67",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B1","Power",0.083,0.152,0.11,0.098,0.055,0.133,0.114,0.133
"68",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B2","Power",0.558,0.66,0.593,0.574,0.469,0.631,0.602,0.631
"69",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B3","Power",0.682,0.786,0.733,0.697,0.538,0.751,0.719,0.751
"70",25,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,427274530,"B4","Power",0.05,0.106,0.078,0.074,0.043,0.094,0.083,0.094
"71",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B0","Size",0.044,0.082,0.065,0.062,0.047,0.074,0.069,0.074
"72",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B1","Size",0.05,0.08,0.066,0.057,0.047,0.075,0.07,0.075
"73",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B2","Size",0.054,0.074,0.066,0.061,0.051,0.069,0.067,0.069
"74",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B3","Size",0.047,0.098,0.082,0.07,0.045,0.088,0.079,0.088
"75",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B4","Size",0.052,0.076,0.06,0.055,0.043,0.071,0.065,0.071
"76",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B0","Power",0.106,0.142,0.123,0.117,0.095,0.137,0.128,0.137
"77",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B1","Power",0.132,0.172,0.15,0.136,0.11,0.164,0.151,0.164
"78",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B2","Power",0.893,0.918,0.902,0.893,0.868,0.914,0.906,0.914
"79",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B3","Power",0.942,0.954,0.943,0.93,0.888,0.946,0.941,0.946
"80",50,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,541274760,"B4","Power",0.052,0.076,0.06,0.055,0.043,0.071,0.065,0.071
"81",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B0","Size",0.043,0.064,0.058,0.056,0.042,0.062,0.058,0.062
"82",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B1","Size",0.046,0.066,0.052,0.048,0.042,0.056,0.055,0.056
"83",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B2","Size",0.047,0.071,0.059,0.057,0.044,0.068,0.063,0.068
"84",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B3","Size",0.048,0.072,0.07,0.064,0.049,0.069,0.068,0.069
"85",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B4","Size",0.051,0.066,0.06,0.059,0.048,0.064,0.062,0.064
"86",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B0","Power",0.174,0.213,0.197,0.191,0.169,0.204,0.201,0.204
"87",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B1","Power",0.215,0.25,0.238,0.233,0.213,0.246,0.243,0.246
"88",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B2","Power",0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
"89",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B3","Power",0.999,0.999,0.999,0.998,0.998,0.999,0.999,0.999
"90",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,960762722,"B4","Power",0.051,0.066,0.06,0.059,0.048,0.064,0.062,0.064
"91",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B0","Size",0.043,0.046,0.046,0.045,0.044,0.046,0.046,0.046
"92",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3 HC4 HC4m HC5",1000,281241232,"B1","Size",0.043,0.049,0.047,0.047,0.043,0.049,0.047,0.049
