"","n","B","Estruct","whichX","Edist","adjust","iterations","seed","Parameter","Measure","HOM","HC0","HC1","HC2","HC3"
"88",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1004303450,"B2","Power",0.992,0.993,0.993,0.993,0.992
"89",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1004303450,"B3","Power",0.999,1,1,1,0.999
"90",100,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,1004303450,"B4","Power",0.043,0.062,0.056,0.051,0.042
"91",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B0","Size",0.038,0.048,0.048,0.048,0.044
"92",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B1","Size",0.038,0.041,0.041,0.041,0.038
"93",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B2","Size",0.043,0.042,0.04,0.038,0.038
"94",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B3","Size",0.051,0.066,0.064,0.058,0.051
"95",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B4","Size",0.051,0.052,0.052,0.052,0.05
"96",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B0","Power",0.364,0.392,0.386,0.384,0.368
"97",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B1","Power",0.496,0.527,0.519,0.515,0.503
"98",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B2","Power",1,1,1,1,1
"99",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B3","Power",1,1,1,1,1
"100",250,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,865298236,"B4","Power",0.051,0.052,0.052,0.052,0.05
"101",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B0","Size",0.047,0.056,0.056,0.055,0.053
"102",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B1","Size",0.054,0.056,0.053,0.052,0.051
"103",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B2","Size",0.047,0.055,0.055,0.054,0.052
"104",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B3","Size",0.046,0.048,0.048,0.047,0.047
"105",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B4","Size",0.045,0.047,0.044,0.043,0.042
"106",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B0","Power",0.671,0.686,0.683,0.683,0.68
"107",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B1","Power",0.804,0.807,0.805,0.804,0.795
"108",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B2","Power",1,1,1,1,1
"109",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B3","Power",1,1,1,1,1
"110",500,"1 1 1 1 0 0","E1","T T T T T F","En","HOM HC0 HC1 HC2 HC3",1000,143331140,"B4","Power",0.045,0.047,0.044,0.043,0.042
